X,Y,Z,formation,series,formation number
617992.3528639978,2478040.43899232,588.0,Unit2,Default series,2
617977.7679771424,2477995.4656506893,594.0,Unit2,Default series,2
617917.90187914,2477979.1030955133,601.0,Unit2,Default series,2
617886.6962161581,2478061.377403278,577.0,Unit2,Default series,2
617844.8523739026,2478162.167445424,570.0,Unit2,Default series,2
617779.1515335034,2478161.554815746,626.0,Unit2,Default series,2
617729.3997158277,2478263.7233024603,615.0,Unit2,Default series,2
617656.4052474129,2478278.508174832,613.0,Unit2,Default series,2
617647.0905979967,2478133.2985549704,623.0,Unit2,Default series,2
617602.3578987007,2478041.4288232513,614.0,Unit2,Default series,2
617518.9758222153,2477984.9986544163,610.0,Unit2,Default series,2
617363.5701041854,2477869.874577986,627.0,Unit2,Default series,2
617210.1723246012,2477907.513400989,675.0,Unit2,Default series,2
617114.9446500744,2477821.15839572,694.0,Unit2,Default series,2
617070.1463423462,2477757.3324705455,690.0,Unit2,Default series,2
616980.5600200972,2477644.8883940466,665.0,Unit2,Default series,2
616901.5267158408,2477606.471542888,627.0,Unit2,Default series,2
616838.6625379262,2477553.245609035,627.0,Unit2,Default series,2
616834.9007483406,2477549.500550239,623.0,Unit2,Default series,2
616829.5161796119,2477545.51704954,623.0,Unit2,Default series,2
616774.4878679353,2477504.0757731576,635.0,Unit2,Default series,2
616715.7471574245,2477566.7484595007,650.0,Unit2,Default series,2
616645.3083481675,2477453.718177378,664.0,Unit2,Default series,2
616585.8820818961,2477351.145929672,691.0,Unit2,Default series,2
616504.2631518407,2477157.059551919,721.0,Unit2,Default series,2
616491.1359851375,2477006.2652323297,649.0,Unit2,Default series,2
616495.1810256509,2476955.3928448604,628.0,Unit2,Default series,2
616487.9177456641,2476908.175416881,614.0,Unit2,Default series,2
616485.0685521532,2476876.200662203,602.0,Unit2,Default series,2
616500.5943722032,2476834.6657770257,582.0,Unit2,Default series,2
616483.9138014482,2476830.673225865,582.0,Unit2,Default series,2
616463.4430312822,2476802.4840628826,578.0,Unit2,Default series,2
616463.2612661422,2476778.302880262,565.0,Unit2,Default series,2
